p_transport,modular_cost,modular_win_rate,wins,total
0.0,0.0,0.0,0,9
0.0,0.005,0.0,0,9
0.0,0.01,0.0,0,9
0.0,0.015,0.0,0,9
0.0,0.02,0.0,0,9
0.0,0.025,0.0,0,9
0.0,0.03,0.0,0,9
0.0,0.035,0.0,0,9
0.0,0.04,0.0,0,9
0.0,0.045,0.0,0,9
0.0,0.05,0.0,0,9
0.0,0.055,0.0,0,9
0.0,0.06,0.0,0,9
0.0,0.065,0.0,0,9
0.0,0.07,0.0,0,9
0.0,0.075,0.0,0,9
0.0,0.08,0.0,0,9
0.0,0.085,0.0,0,9
0.0,0.09,0.0,0,9
0.0,0.095,0.0,0,9
0.0,0.1,0.0,0,9
0.0,0.105,0.0,0,9
0.0,0.11,0.0,0,9
0.0,0.115,0.0,0,9
0.0,0.12,0.0,0,9
0.0,0.125,0.0,0,9
0.0,0.13,0.0,0,9
0.0,0.135,0.0,0,9
0.0,0.14,0.0,0,9
0.0,0.145,0.0,0,9
0.0,0.15,0.0,0,9
0.0,0.155,0.0,0,9
0.0,0.16,0.0,0,9
0.0,0.165,0.0,0,9
0.0,0.17,0.0,0,9
0.0,0.175,0.0,0,9
0.0,0.18,0.0,0,9
0.0,0.185,0.0,0,9
0.0,0.19,0.0,0,9
0.0,0.195,0.0,0,9
0.0,0.2,0.0,0,9
0.05,0.0,1.0,9,9
0.05,0.005,1.0,9,9
0.05,0.01,1.0,9,9
0.05,0.015,1.0,9,9
0.05,0.02,1.0,9,9
0.05,0.025,1.0,9,9
0.05,0.03,1.0,9,9
0.05,0.035,1.0,9,9
0.05,0.04,0.7777777777777778,7,9
0.05,0.045,0.4444444444444444,4,9
0.05,0.05,0.0,0,9
0.05,0.055,0.0,0,9
0.05,0.06,0.0,0,9
0.05,0.065,0.0,0,9
0.05,0.07,0.0,0,9
0.05,0.075,0.0,0,9
0.05,0.08,0.0,0,9
0.05,0.085,0.0,0,9
0.05,0.09,0.0,0,9
0.05,0.095,0.0,0,9
0.05,0.1,0.0,0,9
0.05,0.105,0.0,0,9
0.05,0.11,0.0,0,9
0.05,0.115,0.0,0,9
0.05,0.12,0.0,0,9
0.05,0.125,0.0,0,9
0.05,0.13,0.0,0,9
0.05,0.135,0.0,0,9
0.05,0.14,0.0,0,9
0.05,0.145,0.0,0,9
0.05,0.15,0.0,0,9
0.05,0.155,0.0,0,9
0.05,0.16,0.0,0,9
0.05,0.165,0.0,0,9
0.05,0.17,0.0,0,9
0.05,0.175,0.0,0,9
0.05,0.18,0.0,0,9
0.05,0.185,0.0,0,9
0.05,0.19,0.0,0,9
0.05,0.195,0.0,0,9
0.05,0.2,0.0,0,9
0.1,0.0,1.0,9,9
0.1,0.005,1.0,9,9
0.1,0.01,1.0,9,9
0.1,0.015,1.0,9,9
0.1,0.02,1.0,9,9
0.1,0.025,1.0,9,9
0.1,0.03,1.0,9,9
0.1,0.035,1.0,9,9
0.1,0.04,1.0,9,9
0.1,0.045,1.0,9,9
0.1,0.05,1.0,9,9
0.1,0.055,1.0,9,9
0.1,0.06,1.0,9,9
0.1,0.065,0.8888888888888888,8,9
0.1,0.07,0.6666666666666666,6,9
0.1,0.075,0.4444444444444444,4,9
0.1,0.08,0.3333333333333333,3,9
0.1,0.085,0.2222222222222222,2,9
0.1,0.09,0.1111111111111111,1,9
0.1,0.095,0.0,0,9
0.1,0.1,0.0,0,9
0.1,0.105,0.0,0,9
0.1,0.11,0.0,0,9
0.1,0.115,0.0,0,9
0.1,0.12,0.0,0,9
0.1,0.125,0.0,0,9
0.1,0.13,0.0,0,9
0.1,0.135,0.0,0,9
0.1,0.14,0.0,0,9
0.1,0.145,0.0,0,9
0.1,0.15,0.0,0,9
0.1,0.155,0.0,0,9
0.1,0.16,0.0,0,9
0.1,0.165,0.0,0,9
0.1,0.17,0.0,0,9
0.1,0.175,0.0,0,9
0.1,0.18,0.0,0,9
0.1,0.185,0.0,0,9
0.1,0.19,0.0,0,9
0.1,0.195,0.0,0,9
0.1,0.2,0.0,0,9
0.15,0.0,1.0,9,9
0.15,0.005,1.0,9,9
0.15,0.01,1.0,9,9
0.15,0.015,1.0,9,9
0.15,0.02,1.0,9,9
0.15,0.025,1.0,9,9
0.15,0.03,1.0,9,9
0.15,0.035,1.0,9,9
0.15,0.04,1.0,9,9
0.15,0.045,1.0,9,9
0.15,0.05,1.0,9,9
0.15,0.055,1.0,9,9
0.15,0.06,1.0,9,9
0.15,0.065,1.0,9,9
0.15,0.07,1.0,9,9
0.15,0.075,1.0,9,9
0.15,0.08,1.0,9,9
0.15,0.085,0.8888888888888888,8,9
0.15,0.09,0.7777777777777778,7,9
0.15,0.095,0.6666666666666666,6,9
0.15,0.1,0.5555555555555556,5,9
0.15,0.105,0.4444444444444444,4,9
0.15,0.11,0.3333333333333333,3,9
0.15,0.115,0.2222222222222222,2,9
0.15,0.12,0.2222222222222222,2,9
0.15,0.125,0.1111111111111111,1,9
0.15,0.13,0.0,0,9
0.15,0.135,0.0,0,9
0.15,0.14,0.0,0,9
0.15,0.145,0.0,0,9
0.15,0.15,0.0,0,9
0.15,0.155,0.0,0,9
0.15,0.16,0.0,0,9
0.15,0.165,0.0,0,9
0.15,0.17,0.0,0,9
0.15,0.175,0.0,0,9
0.15,0.18,0.0,0,9
0.15,0.185,0.0,0,9
0.15,0.19,0.0,0,9
0.15,0.195,0.0,0,9
0.15,0.2,0.0,0,9
0.2,0.0,1.0,9,9
0.2,0.005,1.0,9,9
0.2,0.01,1.0,9,9
0.2,0.015,1.0,9,9
0.2,0.02,1.0,9,9
0.2,0.025,1.0,9,9
0.2,0.03,1.0,9,9
0.2,0.035,1.0,9,9
0.2,0.04,1.0,9,9
0.2,0.045,1.0,9,9
0.2,0.05,1.0,9,9
0.2,0.055,1.0,9,9
0.2,0.06,1.0,9,9
0.2,0.065,1.0,9,9
0.2,0.07,1.0,9,9
0.2,0.075,1.0,9,9
0.2,0.08,1.0,9,9
0.2,0.085,1.0,9,9
0.2,0.09,1.0,9,9
0.2,0.095,1.0,9,9
0.2,0.1,1.0,9,9
0.2,0.105,1.0,9,9
0.2,0.11,0.8888888888888888,8,9
0.2,0.115,0.7777777777777778,7,9
0.2,0.12,0.6666666666666666,6,9
0.2,0.125,0.5555555555555556,5,9
0.2,0.13,0.4444444444444444,4,9
0.2,0.135,0.3333333333333333,3,9
0.2,0.14,0.3333333333333333,3,9
0.2,0.145,0.3333333333333333,3,9
0.2,0.15,0.2222222222222222,2,9
0.2,0.155,0.1111111111111111,1,9
0.2,0.16,0.0,0,9
0.2,0.165,0.0,0,9
0.2,0.17,0.0,0,9
0.2,0.175,0.0,0,9
0.2,0.18,0.0,0,9
0.2,0.185,0.0,0,9
0.2,0.19,0.0,0,9
0.2,0.195,0.0,0,9
0.2,0.2,0.0,0,9
0.25,0.0,1.0,9,9
0.25,0.005,1.0,9,9
0.25,0.01,1.0,9,9
0.25,0.015,1.0,9,9
0.25,0.02,1.0,9,9
0.25,0.025,1.0,9,9
0.25,0.03,1.0,9,9
0.25,0.035,1.0,9,9
0.25,0.04,1.0,9,9
0.25,0.045,1.0,9,9
0.25,0.05,1.0,9,9
0.25,0.055,1.0,9,9
0.25,0.06,1.0,9,9
0.25,0.065,1.0,9,9
0.25,0.07,1.0,9,9
0.25,0.075,1.0,9,9
0.25,0.08,1.0,9,9
0.25,0.085,1.0,9,9
0.25,0.09,1.0,9,9
0.25,0.095,1.0,9,9
0.25,0.1,1.0,9,9
0.25,0.105,1.0,9,9
0.25,0.11,1.0,9,9
0.25,0.115,1.0,9,9
0.25,0.12,1.0,9,9
0.25,0.125,1.0,9,9
0.25,0.13,1.0,9,9
0.25,0.135,0.8888888888888888,8,9
0.25,0.14,0.7777777777777778,7,9
0.25,0.145,0.6666666666666666,6,9
0.25,0.15,0.5555555555555556,5,9
0.25,0.155,0.4444444444444444,4,9
0.25,0.16,0.3333333333333333,3,9
0.25,0.165,0.3333333333333333,3,9
0.25,0.17,0.3333333333333333,3,9
0.25,0.175,0.3333333333333333,3,9
0.25,0.18,0.3333333333333333,3,9
0.25,0.185,0.1111111111111111,1,9
0.25,0.19,0.1111111111111111,1,9
0.25,0.195,0.0,0,9
0.25,0.2,0.0,0,9
0.3,0.0,1.0,9,9
0.3,0.005,1.0,9,9
0.3,0.01,1.0,9,9
0.3,0.015,1.0,9,9
0.3,0.02,1.0,9,9
0.3,0.025,1.0,9,9
0.3,0.03,1.0,9,9
0.3,0.035,1.0,9,9
0.3,0.04,1.0,9,9
0.3,0.045,1.0,9,9
0.3,0.05,1.0,9,9
0.3,0.055,1.0,9,9
0.3,0.06,1.0,9,9
0.3,0.065,1.0,9,9
0.3,0.07,1.0,9,9
0.3,0.075,1.0,9,9
0.3,0.08,1.0,9,9
0.3,0.085,1.0,9,9
0.3,0.09,1.0,9,9
0.3,0.095,1.0,9,9
0.3,0.1,1.0,9,9
0.3,0.105,1.0,9,9
0.3,0.11,1.0,9,9
0.3,0.115,1.0,9,9
0.3,0.12,1.0,9,9
0.3,0.125,1.0,9,9
0.3,0.13,1.0,9,9
0.3,0.135,1.0,9,9
0.3,0.14,1.0,9,9
0.3,0.145,1.0,9,9
0.3,0.15,1.0,9,9
0.3,0.155,0.7777777777777778,7,9
0.3,0.16,0.7777777777777778,7,9
0.3,0.165,0.7777777777777778,7,9
0.3,0.17,0.6666666666666666,6,9
0.3,0.175,0.6666666666666666,6,9
0.3,0.18,0.4444444444444444,4,9
0.3,0.185,0.4444444444444444,4,9
0.3,0.19,0.3333333333333333,3,9
0.3,0.195,0.1111111111111111,1,9
0.3,0.2,0.1111111111111111,1,9
0.35,0.0,1.0,9,9
0.35,0.005,1.0,9,9
0.35,0.01,1.0,9,9
0.35,0.015,1.0,9,9
0.35,0.02,1.0,9,9
0.35,0.025,1.0,9,9
0.35,0.03,1.0,9,9
0.35,0.035,1.0,9,9
0.35,0.04,1.0,9,9
0.35,0.045,1.0,9,9
0.35,0.05,1.0,9,9
0.35,0.055,1.0,9,9
0.35,0.06,1.0,9,9
0.35,0.065,1.0,9,9
0.35,0.07,1.0,9,9
0.35,0.075,1.0,9,9
0.35,0.08,1.0,9,9
0.35,0.085,1.0,9,9
0.35,0.09,1.0,9,9
0.35,0.095,1.0,9,9
0.35,0.1,1.0,9,9
0.35,0.105,1.0,9,9
0.35,0.11,1.0,9,9
0.35,0.115,1.0,9,9
0.35,0.12,1.0,9,9
0.35,0.125,1.0,9,9
0.35,0.13,1.0,9,9
0.35,0.135,1.0,9,9
0.35,0.14,1.0,9,9
0.35,0.145,1.0,9,9
0.35,0.15,1.0,9,9
0.35,0.155,0.7777777777777778,7,9
0.35,0.16,0.7777777777777778,7,9
0.35,0.165,0.7777777777777778,7,9
0.35,0.17,0.7777777777777778,7,9
0.35,0.175,0.7777777777777778,7,9
0.35,0.18,0.7777777777777778,7,9
0.35,0.185,0.5555555555555556,5,9
0.35,0.19,0.4444444444444444,4,9
0.35,0.195,0.4444444444444444,4,9
0.35,0.2,0.4444444444444444,4,9
0.4,0.0,1.0,9,9
0.4,0.005,1.0,9,9
0.4,0.01,1.0,9,9
0.4,0.015,1.0,9,9
0.4,0.02,1.0,9,9
0.4,0.025,1.0,9,9
0.4,0.03,1.0,9,9
0.4,0.035,1.0,9,9
0.4,0.04,1.0,9,9
0.4,0.045,1.0,9,9
0.4,0.05,1.0,9,9
0.4,0.055,1.0,9,9
0.4,0.06,1.0,9,9
0.4,0.065,1.0,9,9
0.4,0.07,1.0,9,9
0.4,0.075,1.0,9,9
0.4,0.08,1.0,9,9
0.4,0.085,1.0,9,9
0.4,0.09,1.0,9,9
0.4,0.095,1.0,9,9
0.4,0.1,1.0,9,9
0.4,0.105,1.0,9,9
0.4,0.11,1.0,9,9
0.4,0.115,1.0,9,9
0.4,0.12,1.0,9,9
0.4,0.125,1.0,9,9
0.4,0.13,1.0,9,9
0.4,0.135,1.0,9,9
0.4,0.14,1.0,9,9
0.4,0.145,1.0,9,9
0.4,0.15,1.0,9,9
0.4,0.155,1.0,9,9
0.4,0.16,0.7777777777777778,7,9
0.4,0.165,0.7777777777777778,7,9
0.4,0.17,0.7777777777777778,7,9
0.4,0.175,0.7777777777777778,7,9
0.4,0.18,0.7777777777777778,7,9
0.4,0.185,0.7777777777777778,7,9
0.4,0.19,0.5555555555555556,5,9
0.4,0.195,0.5555555555555556,5,9
0.4,0.2,0.5555555555555556,5,9
0.45,0.0,1.0,9,9
0.45,0.005,1.0,9,9
0.45,0.01,1.0,9,9
0.45,0.015,1.0,9,9
0.45,0.02,1.0,9,9
0.45,0.025,1.0,9,9
0.45,0.03,1.0,9,9
0.45,0.035,1.0,9,9
0.45,0.04,1.0,9,9
0.45,0.045,1.0,9,9
0.45,0.05,1.0,9,9
0.45,0.055,1.0,9,9
0.45,0.06,1.0,9,9
0.45,0.065,1.0,9,9
0.45,0.07,1.0,9,9
0.45,0.075,1.0,9,9
0.45,0.08,1.0,9,9
0.45,0.085,1.0,9,9
0.45,0.09,1.0,9,9
0.45,0.095,1.0,9,9
0.45,0.1,1.0,9,9
0.45,0.105,1.0,9,9
0.45,0.11,1.0,9,9
0.45,0.115,1.0,9,9
0.45,0.12,1.0,9,9
0.45,0.125,1.0,9,9
0.45,0.13,1.0,9,9
0.45,0.135,1.0,9,9
0.45,0.14,1.0,9,9
0.45,0.145,1.0,9,9
0.45,0.15,1.0,9,9
0.45,0.155,1.0,9,9
0.45,0.16,0.7777777777777778,7,9
0.45,0.165,0.7777777777777778,7,9
0.45,0.17,0.7777777777777778,7,9
0.45,0.175,0.7777777777777778,7,9
0.45,0.18,0.7777777777777778,7,9
0.45,0.185,0.7777777777777778,7,9
0.45,0.19,0.7777777777777778,7,9
0.45,0.195,0.7777777777777778,7,9
0.45,0.2,0.5555555555555556,5,9
0.5,0.0,1.0,9,9
0.5,0.005,1.0,9,9
0.5,0.01,1.0,9,9
0.5,0.015,1.0,9,9
0.5,0.02,1.0,9,9
0.5,0.025,1.0,9,9
0.5,0.03,1.0,9,9
0.5,0.035,1.0,9,9
0.5,0.04,1.0,9,9
0.5,0.045,1.0,9,9
0.5,0.05,1.0,9,9
0.5,0.055,1.0,9,9
0.5,0.06,1.0,9,9
0.5,0.065,1.0,9,9
0.5,0.07,1.0,9,9
0.5,0.075,1.0,9,9
0.5,0.08,1.0,9,9
0.5,0.085,1.0,9,9
0.5,0.09,1.0,9,9
0.5,0.095,1.0,9,9
0.5,0.1,1.0,9,9
0.5,0.105,1.0,9,9
0.5,0.11,1.0,9,9
0.5,0.115,1.0,9,9
0.5,0.12,1.0,9,9
0.5,0.125,1.0,9,9
0.5,0.13,1.0,9,9
0.5,0.135,1.0,9,9
0.5,0.14,1.0,9,9
0.5,0.145,1.0,9,9
0.5,0.15,1.0,9,9
0.5,0.155,1.0,9,9
0.5,0.16,1.0,9,9
0.5,0.165,0.7777777777777778,7,9
0.5,0.17,0.7777777777777778,7,9
0.5,0.175,0.7777777777777778,7,9
0.5,0.18,0.7777777777777778,7,9
0.5,0.185,0.7777777777777778,7,9
0.5,0.19,0.7777777777777778,7,9
