epsilon,lambda,chi,GKSL_bestIPC_InfoPerCost,GKSL_bestIPC_kappa,best_baseline_ipc_model,best_baseline_ipc,delta_gk_baseline_ipc,winner_ipc
0.0,0.5,0.001,0.3825954364474162,3.0,CRW,0.201028248016345,0.18156718843107122,GKSL_bestIPC
1.0,0.5,0.001,0.3772424226138761,3.0,CRW_thermal_T1.0,0.240034981755404,0.13720744085847209,GKSL_bestIPC
2.0,0.5,0.001,0.3878498280811371,1.0,CRW_thermal_T0.1,0.3389165737523212,0.0489332543288159,GKSL_bestIPC
3.0,0.5,0.001,0.474639024027955,0.001,CRW_thermal_T0.1,0.3323495879082861,0.14228943611966888,GKSL_bestIPC
5.0,0.5,0.001,0.3312167392206696,1.0,CRW_thermal_T0.1,0.3063676578033438,0.02484908141732578,GKSL_bestIPC
0.0,0.5,0.01,0.2344260009092333,0.3,CRW,0.1975336658809224,0.03689233502831091,GKSL_bestIPC
1.0,0.5,0.01,0.2036304216597717,0.3,CRW_thermal_T1.0,0.2353099235828518,-0.03167950192308011,CRW_thermal_T1.0
2.0,0.5,0.01,0.1878856959126894,0.3,CRW_thermal_T0.1,0.3271273917751053,-0.13924169586241592,CRW_thermal_T0.1
3.0,0.5,0.01,0.236044856196669,0.001,CRW_thermal_T0.1,0.3176190546368639,-0.0815741984401949,CRW_thermal_T0.1
5.0,0.5,0.01,0.1098087660182505,1.0,CRW_thermal_T0.1,0.293615229876758,-0.18380646385850746,CRW_thermal_T0.1
0.0,0.5,0.05,0.1023800545909147,0.1,CRW,0.1833667221723218,-0.0809866675814071,CRW
1.0,0.5,0.05,0.0707972774979862,0.3,CRW_thermal_T1.0,0.2163792641527794,-0.1455819866547932,CRW_thermal_T1.0
2.0,0.5,0.05,0.059295703511576,0.3,CRW_thermal_T0.1,0.2833254002296587,-0.22402969671808268,CRW_thermal_T0.1
3.0,0.5,0.05,0.0729849511754298,0.001,CRW_thermal_T0.1,0.2653484662964261,-0.1923635151209963,CRW_thermal_T0.1
5.0,0.5,0.05,0.0276528730315316,1.0,CRW_thermal_T0.1,0.2477769469769346,-0.22012407394540298,CRW_thermal_T0.1
0.0,1.0,0.001,0.2354107320830966,3.0,CRW,-0.0646404444545445,0.30005117653764113,GKSL_bestIPC
1.0,1.0,0.001,0.2326955660024333,3.0,CRW_thermal_T1.0,-0.0125429817948383,0.24523854779727158,GKSL_bestIPC
2.0,1.0,0.001,0.2409670006289563,3.0,CRW_thermal_T0.1,0.1198901910953089,0.12107680953364738,GKSL_bestIPC
3.0,1.0,0.001,0.3369557400069102,0.001,CRW_thermal_T0.1,0.1115171538697463,0.2254385861371639,GKSL_bestIPC
5.0,1.0,0.001,0.212688227078861,3.0,CRW_thermal_T0.1,0.0767654862213635,0.1359227408574975,GKSL_bestIPC
0.0,1.0,0.01,0.1133744941195278,1.0,CRW,-0.063516764849088,0.1768912589686158,GKSL_bestIPC
1.0,1.0,0.01,0.1058497102891682,1.0,CRW_thermal_T1.0,-0.0122960747890158,0.118145785078184,GKSL_bestIPC
2.0,1.0,0.01,0.1064012131657113,1.0,CRW_thermal_T0.1,0.1157198217785853,-0.009318608612873994,CRW_thermal_T0.1
3.0,1.0,0.01,0.1675729663347041,0.001,CRW_thermal_T0.1,0.1065744453327767,0.06099852100192739,GKSL_bestIPC
5.0,1.0,0.01,0.060659298911635,1.0,CRW_thermal_T0.1,0.0735701543860572,-0.012910855474422202,CRW_thermal_T0.1
0.0,1.0,0.05,0.0404609455914039,1.0,CRW,-0.0589613973973854,0.0994223429887893,GKSL_bestIPC
1.0,1.0,0.05,0.0345896641899029,1.0,CRW_thermal_T1.0,-0.0113068568222878,0.045896521012190696,GKSL_bestIPC
2.0,1.0,0.05,0.031819728410638,1.0,CRW_thermal_T0.1,0.1002250671886949,-0.06840533877805689,CRW_thermal_T0.1
3.0,1.0,0.05,0.0518134771641463,0.001,CRW_thermal_T0.1,0.0890354819794316,-0.03722200481528531,CRW_thermal_T0.1
5.0,1.0,0.05,0.0152756829150268,1.0,CRW_thermal_T0.1,0.0620846141055095,-0.0468089311904827,CRW_thermal_T0.1
0.0,2.0,0.001,0.0130401411585495,10.0,CRW,-0.5959778293963237,0.6090179705548732,GKSL_bestIPC
1.0,2.0,0.001,0.012701188723293,10.0,CRW_thermal_T1.0,-0.517698908895323,0.530400097618616,GKSL_bestIPC
2.0,2.0,0.001,0.0138529075018377,10.0,CRW_thermal_T0.1,-0.3181625742187157,0.3320154817205534,GKSL_bestIPC
3.0,2.0,0.001,0.0615891719648208,0.001,CRW_thermal_T0.1,-0.3301477142073333,0.3917368861721541,GKSL_bestIPC
5.0,2.0,0.001,0.0136628023568817,10.0,CRW_thermal_T0.1,-0.3824388569425971,0.3961016592994788,GKSL_bestIPC
0.0,2.0,0.01,0.0020807390565691,10.0,CRW,-0.585617626309109,0.5876983653656781,GKSL_bestIPC
1.0,2.0,0.01,0.0020153022890645,10.0,CRW_thermal_T1.0,-0.5075080715327512,0.5095233738218158,GKSL_bestIPC
2.0,2.0,0.01,0.0021722614379112,10.0,CRW_thermal_T0.1,-0.3070953182144548,0.309267579652366,GKSL_bestIPC
3.0,2.0,0.01,0.0306291866107743,0.001,CRW_thermal_T0.1,-0.3155147732753977,0.34614395988617197,GKSL_bestIPC
5.0,2.0,0.01,0.0020264096528905,10.0,CRW_thermal_T0.1,-0.3665199965953443,0.3685464062482348,GKSL_bestIPC
0.0,2.0,0.05,0.0004394129297335,10.0,CRW,-0.5436176365367998,0.5440570494665333,GKSL_bestIPC
1.0,2.0,0.05,0.0004252371888035,10.0,CRW_thermal_T1.0,-0.4666790987724225,0.46710433596122597,GKSL_bestIPC
2.0,2.0,0.05,0.0004575575455286,10.0,CRW_thermal_T0.1,-0.2659755988932328,0.2664331564387614,GKSL_bestIPC
3.0,2.0,0.05,0.0094705291415794,0.001,CRW_thermal_T0.1,-0.2635904866545573,0.27306101579613673,GKSL_bestIPC
5.0,2.0,0.05,0.0004234688108388,10.0,CRW_thermal_T0.1,-0.3093000516373407,0.3097235204481795,GKSL_bestIPC
